Ensembl ID	Entrez ID	TF family	Protein have DBD
ENSG00000123307	58158	bHLH	ENSP00000242994;
ENSG00000125878	6939	bHLH	ENSP00000246080;
ENSG00000108788	6945	bHLH	ENSP00000246912;ENSP00000320913;ENSP00000416627;ENSP00000464697;
ENSG00000129152	4654	bHLH	ENSP00000250003;
ENSG00000134107	8553	bHLH	ENSP00000256495;
ENSG00000059728	4084	bHLH	ENSP00000264444;ENSP00000410672;
ENSG00000104903	4066	bHLH	ENSP00000264824;
ENSG00000105967	22797	bHLH	ENSP00000265440;ENSP00000318676;ENSP00000417432;ENSP00000387650;ENSP00000377125;
ENSG00000029153	56938	bHLH	ENSP00000266503;ENSP00000445836;ENSP00000379238;ENSP00000442438;ENSP00000261178;ENSP00000438545;ENSP00000400185;ENSP00000312247;
ENSG00000139352	429	bHLH	ENSP00000266744;
ENSG00000144485	55502	bHLH	ENSP00000272937;ENSP00000387155;ENSP00000387215;ENSP00000387008;
ENSG00000146618	222894	bHLH	ENSP00000275461;
ENSG00000134323	4613	bHLH	ENSP00000281043;
ENSG00000151379	343930	bHLH	ENSP00000281047;
ENSG00000162992	4760	bHLH	ENSP00000295108;
ENSG00000163792	150921	bHLH	ENSP00000296096;
ENSG00000164600	63974	bHLH	ENSP00000297142;
ENSG00000166823	55897	bHLH	ENSP00000300057;
ENSG00000171786	4807	bHLH	ENSP00000302189;
ENSG00000172238	474	bHLH	ENSP00000302216;
ENSG00000168874	84913	bHLH	ENSP00000304676;
ENSG00000171532	4761	bHLH	ENSP00000306754;
ENSG00000172379	9915	bHLH	ENSP00000307479;ENSP00000453792;ENSP00000453651;
ENSG00000134852	9575	bHLH	ENSP00000308741;ENSP00000426983;ENSP00000396649;ENSP00000370723;
ENSG00000175727	22877	bHLH	ENSP00000312834;ENSP00000444507;ENSP00000440769;ENSP00000445891;
ENSG00000068323	7030	bHLH	ENSP00000314129;
ENSG00000178403	63973	bHLH	ENSP00000317333;
ENSG00000181965	4762	bHLH	ENSP00000317580;
ENSG00000180828	27319	bHLH	ENSP00000318799;
ENSG00000009950	51085	bHLH	ENSP00000320886;ENSP00000378616;ENSP00000412330;ENSP00000392636;
ENSG00000178860	9242	bHLH	ENSP00000321445;
ENSG00000177551	4808	bHLH	ENSP00000322087;ENSP00000358519;ENSP00000405062;
ENSG00000119950	4601	bHLH	ENSP00000331152;ENSP00000376842;ENSP00000358625;ENSP00000407711;ENSP00000239007;ENSP00000354606;ENSP00000398981;
ENSG00000183734	430	bHLH	ENSP00000332293;
ENSG00000183733	344018	bHLH	ENSP00000333097;
ENSG00000101190	10732	bHLH	ENSP00000334294;ENSP00000217162;
ENSG00000186051	6887	bHLH	ENSP00000334547;
ENSG00000123933	10608	bHLH	ENSP00000337889;
ENSG00000164683	23462	bHLH	ENSP00000338272;ENSP00000346761;ENSP00000429705;
ENSG00000188095	145873	bHLH	ENSP00000342392;
ENSG00000187786	642658	bHLH	ENSP00000342868;
ENSG00000187821	391723	bHLH	ENSP00000343464;ENSP00000426033;ENSP00000422140;
ENSG00000112561	7942	bHLH	ENSP00000343948;ENSP00000410391;ENSP00000351742;ENSP00000384203;ENSP00000377824;ENSP00000412551;ENSP00000362124;ENSP00000383998;ENSP00000230323;
ENSG00000187855	121549	bHLH	ENSP00000345420;
ENSG00000188686	\N	bHLH	ENSP00000345599;
ENSG00000072310	6720	bHLH	ENSP00000348069;ENSP00000345822;ENSP00000261646;ENSP00000379100;ENSP00000413389;ENSP00000379106;ENSP00000411516;
ENSG00000143437	405	bHLH	ENSP00000351407;ENSP00000346372;ENSP00000425899;ENSP00000423851;ENSP00000427571;
ENSG00000125952	4149	bHLH	ENSP00000351490;ENSP00000378104;ENSP00000246163;ENSP00000342482;ENSP00000450818;ENSP00000452197;ENSP00000284165;ENSP00000452286;ENSP00000451907;ENSP00000351175;ENSP00000452378;
ENSG00000164107	9464	bHLH	ENSP00000352565;
ENSG00000198911	6721	bHLH	ENSP00000354476;ENSP00000395728;
ENSG00000177468	167826	bHLH	ENSP00000356708;
ENSG00000118526	6943	bHLH	ENSP00000356857;ENSP00000237316;
ENSG00000158773	7391	bHLH	ENSP00000356999;ENSP00000357000;ENSP00000435005;ENSP00000356998;ENSP00000390109;ENSP00000433041;
ENSG00000135547	23493	bHLH	ENSP00000357348;ENSP00000357349;
ENSG00000112246	6492	bHLH	ENSP00000358210;ENSP00000262901;
ENSG00000125533	128408	bHLH	ENSP00000359371;
ENSG00000162367	6886	bHLH	ENSP00000360950;ENSP00000360951;ENSP00000294339;
ENSG00000163909	26508	bHLH	ENSP00000361943;ENSP00000439071;
ENSG00000179774	220202	bHLH	ENSP00000362777;
ENSG00000117318	3399	bHLH	ENSP00000363689;
ENSG00000125968	3397	bHLH	ENSP00000365280;ENSP00000365273;
ENSG00000168267	256297	bHLH	ENSP00000365687;
ENSG00000069812	54626	bHLH	ENSP00000367065;ENSP00000465270;ENSP00000367067;ENSP00000465248;ENSP00000367068;
ENSG00000173673	390992	bHLH	ENSP00000367130;
ENSG00000136997	4609	bHLH	ENSP00000367207;ENSP00000430235;
ENSG00000197921	388585	bHLH	ENSP00000367714;
ENSG00000172201	3400	bHLH	ENSP00000367972;
ENSG00000184221	116448	bHLH	ENSP00000371785;ENSP00000331066;
ENSG00000205927	10215	bHLH	ENSP00000371794;ENSP00000331040;
ENSG00000205899	727857	bHLH	ENSP00000375248;
ENSG00000071564	6929	bHLH	ENSP00000378813;ENSP00000467508;ENSP00000465549;ENSP00000468481;ENSP00000468487;ENSP00000466565;ENSP00000396363;ENSP00000465510;ENSP00000344375;ENSP00000262965;
ENSG00000116990	4610	bHLH	ENSP00000380494;ENSP00000361903;
ENSG00000196628	6925	bHLH	ENSP00000381382;ENSP00000455763;ENSP00000455984;ENSP00000348374;ENSP00000440731;ENSP00000441562;ENSP00000454366;ENSP00000439827;ENSP00000455261;ENSP00000457649;ENSP00000409447;ENSP00000454647;ENSP00000455346;ENSP00000346440;ENSP00000456125;ENSP00000455179;ENSP00000455135;ENSP00000457263;ENSP00000457765;ENSP00000455418;ENSP00000445202;ENSP00000439656;
ENSG00000133794	406	bHLH	ENSP00000384517;ENSP00000385581;ENSP00000374358;ENSP00000431488;ENSP00000379718;ENSP00000436313;ENSP00000436721;ENSP00000374357;ENSP00000354278;ENSP00000433571;ENSP00000385915;ENSP00000385897;
ENSG00000140262	6938	bHLH	ENSP00000388940;ENSP00000444696;ENSP00000342459;ENSP00000454102;ENSP00000453876;ENSP00000453737;ENSP00000440017;ENSP00000453264;ENSP00000267811;ENSP00000396881;ENSP00000331057;
ENSG00000213347	83463	bHLH	ENSP00000389716;ENSP00000401867;ENSP00000421463;ENSP00000416921;
ENSG00000187098	4286	bHLH	ENSP00000391803;ENSP00000435909;ENSP00000324443;ENSP00000327867;ENSP00000295600;ENSP00000377880;ENSP00000418845;ENSP00000324246;ENSP00000398639;ENSP00000377884;
ENSG00000188290	57801	bHLH	ENSP00000393198;ENSP00000304595;
ENSG00000165643	402381	bHLH	ENSP00000404438;ENSP00000298466;
ENSG00000233608	117581	bHLH	ENSP00000405176;
ENSG00000176542	205717	bHLH	ENSP00000420721;ENSP00000320794;ENSP00000420752;
ENSG00000250709	100526761	bHLH	ENSP00000421868;
ENSG00000176009	56676	bHLH	ENSP00000435770;ENSP00000318846;
ENSG00000170485	4862	bHLH	ENSP00000438428;ENSP00000397595;ENSP00000395265;ENSP00000338283;ENSP00000388528;
ENSG00000179111	84667	bHLH	ENSP00000446205;ENSP00000314774;ENSP00000462491;
ENSG00000120669	54937	bHLH	ENSP00000451542;ENSP00000369210;
ENSG00000261787	100129654	bHLH	ENSP00000455444;
ENSG00000262077	51085	bHLH	ENSP00000458686;ENSP00000459667;ENSP00000460386;ENSP00000458655;
ENSG00000232237	647219	bHLH	ENSP00000469019;ENSP00000472681;
ENSG00000269748	7030	bHLH	ENSP00000470141;
ENSG00000105698	7392	bHLH	ENSP00000471511;ENSP00000469364;ENSP00000471775;ENSP00000470081;ENSP00000471099;ENSP00000222305;ENSP00000368429;ENSP00000340633;
ENSG00000272503	344018	bHLH	ENSP00000475436;
ENSG00000180535	168620	bHLH	ENSP00000476312;ENSP00000326391;
ENSG00000260428	\N	bHLH	ENSP00000476384;
ENSG00000067955	865	CBF	ENSP00000415151;ENSP00000462273;ENSP00000462932;ENSP00000462148;ENSP00000456637;ENSP00000290858;
ENSG00000092067	1053	C/EBP	ENSP00000206513;
ENSG00000153879	1054	C/EBP	ENSP00000284000;ENSP00000466022;
ENSG00000172216	1051	C/EBP	ENSP00000305422;
ENSG00000221869	1052	C/EBP	ENSP00000386165;
ENSG00000245848	1050	C/EBP	ENSP00000427514;
ENSG00000171735	23261	CG-1	ENSP00000306522;ENSP00000402561;
ENSG00000108509	23125	CG-1	ENSP00000412886;ENSP00000321813;ENSP00000354828;ENSP00000459519;ENSP00000460751;ENSP00000460779;ENSP00000458560;ENSP00000350910;ENSP00000370712;
ENSG00000164330	1879	COE	ENSP00000322898;ENSP00000370029;ENSP00000428020;
ENSG00000088881	57593	COE	ENSP00000345030;ENSP00000477107;ENSP00000477023;ENSP00000405003;ENSP00000370022;
ENSG00000108001	253738	COE	ENSP00000347463;ENSP00000357637;ENSP00000387543;
ENSG00000221818	64641	COE	ENSP00000430241;ENSP00000386178;ENSP00000437909;
ENSG00000083307	79977	CP2	ENSP00000251808;ENSP00000379260;
ENSG00000135457	7024	CP2	ENSP00000257915;ENSP00000304411;ENSP00000449742;ENSP00000447991;ENSP00000449280;
ENSG00000115112	29842	CP2	ENSP00000263707;
ENSG00000153560	7342	CP2	ENSP00000283629;ENSP00000395558;ENSP00000401614;ENSP00000283628;
ENSG00000158055	57822	CP2	ENSP00000288955;ENSP00000236255;ENSP00000348333;ENSP00000354943;ENSP00000340543;
ENSG00000134317	29841	CP2	ENSP00000324693;ENSP00000324494;ENSP00000418275;ENSP00000384209;
ENSG00000006047	51087	CSD	ENSP00000007699;
ENSG00000060138	8531	CSD	ENSP00000228251;ENSP00000279550;
ENSG00000172346	27254	CSD	ENSP00000302485;ENSP00000417127;
ENSG00000187772	389421	CSD	ENSP00000344401;
ENSG00000131914	79727	CSD	ENSP00000363314;ENSP00000254231;
ENSG00000153048	23589	CSD	ENSP00000379838;ENSP00000455016;ENSP00000455855;ENSP00000455522;ENSP00000460812;ENSP00000456909;ENSP00000457864;ENSP00000455284;ENSP00000311847;
ENSG00000065978	4904	CSD	ENSP00000389639;ENSP00000361626;ENSP00000405937;
ENSG00000009307	7812	CSD	ENSP00000407724;ENSP00000435185;ENSP00000437159;ENSP00000431297;ENSP00000342408;ENSP00000261443;ENSP00000358543;ENSP00000432958;ENSP00000351329;
ENSG00000124232	11317	CSL	ENSP00000341243;ENSP00000361828;ENSP00000361826;
ENSG00000168214	3516	CSL	ENSP00000354528;ENSP00000305815;ENSP00000427170;ENSP00000339699;ENSP00000423703;ENSP00000345206;ENSP00000421804;ENSP00000423406;ENSP00000423907;ENSP00000340124;ENSP00000347659;
ENSG00000162599	4774	CTF/NFI	ENSP00000360231;ENSP00000474461;ENSP00000384523;ENSP00000474806;ENSP00000360227;ENSP00000360233;ENSP00000419785;ENSP00000474462;ENSP00000473830;ENSP00000384680;ENSP00000474817;ENSP00000360229;ENSP00000360226;
ENSG00000147862	4781	CTF/NFI	ENSP00000380711;ENSP00000380709;ENSP00000370308;ENSP00000370346;ENSP00000475362;ENSP00000380705;ENSP00000370321;ENSP00000442888;ENSP00000370311;ENSP00000370340;
ENSG00000141905	4782	CTF/NFI	ENSP00000396843;ENSP00000301935;ENSP00000378543;ENSP00000465655;ENSP00000465177;ENSP00000466647;ENSP00000342194;
ENSG00000008441	4784	CTF/NFI	ENSP00000467512;ENSP00000468707;ENSP00000465094;ENSP00000465616;ENSP00000351354;ENSP00000467785;ENSP00000468794;ENSP00000466735;ENSP00000380781;ENSP00000466389;ENSP00000353219;
ENSG00000111249	23316	CUT	ENSP00000261726;
ENSG00000169856	3175	CUT	ENSP00000302630;ENSP00000476168;
ENSG00000257923	1523	CUT	ENSP00000353401;ENSP00000292535;ENSP00000446630;ENSP00000450125;ENSP00000447373;ENSP00000451558;
ENSG00000205922	390874	CUT	ENSP00000371786;
ENSG00000182568	6304	CUT	ENSP00000399518;ENSP00000399708;ENSP00000341024;
ENSG00000119042	23314	CUT	ENSP00000401112;ENSP00000388581;ENSP00000260926;ENSP00000388764;ENSP00000405420;
ENSG00000119547	9480	CUT	ENSP00000419185;ENSP00000419741;
ENSG00000259938	1523	CUT	ENSP00000455398;ENSP00000456251;ENSP00000455160;ENSP00000456964;ENSP00000458017;ENSP00000456980;
ENSG00000064218	58524	DM	ENSP00000190165;
ENSG00000176399	63951	DM	ENSP00000319651;
ENSG00000173253	10655	DM	ENSP00000350865;ENSP00000371690;ENSP00000397494;ENSP00000259622;ENSP00000371686;ENSP00000305785;
ENSG00000143006	63948	DM	ENSP00000360500;
ENSG00000137090	1761	DM	ENSP00000371711;
ENSG00000142700	63950	DM	ENSP00000399370;ENSP00000383909;
ENSG00000142025	63946	DM	ENSP00000469525;ENSP00000472488;ENSP00000269945;ENSP00000472159;ENSP00000470553;ENSP00000472215;
ENSG00000273436	63946	DM	ENSP00000476591;ENSP00000477002;ENSP00000476385;ENSP00000477380;ENSP00000476360;ENSP00000476471;
ENSG00000133740	1875	E2F	ENSP00000256117;ENSP00000398124;ENSP00000414312;
ENSG00000112242	1871	E2F	ENSP00000262904;ENSP00000443418;
ENSG00000165891	144455	E2F	ENSP00000323246;ENSP00000393639;ENSP00000449284;ENSP00000447963;ENSP00000448245;
ENSG00000101412	1869	E2F	ENSP00000345571;
ENSG00000007968	1870	E2F	ENSP00000355249;
ENSG00000198176	7027	E2F	ENSP00000364519;ENSP00000438450;ENSP00000443878;ENSP00000401389;ENSP00000386145;
ENSG00000205250	1874	E2F	ENSP00000368686;ENSP00000457239;ENSP00000458082;ENSP00000454477;
ENSG00000169016	1876	E2F	ENSP00000370936;ENSP00000302159;ENSP00000355036;ENSP00000446315;ENSP00000438864;
ENSG00000183434	51270	E2F	ENSP00000385461;
ENSG00000114126	7029	E2F	ENSP00000420616;ENSP00000418122;ENSP00000419036;ENSP00000381078;ENSP00000420599;ENSP00000418590;ENSP00000417726;ENSP00000309622;ENSP00000418971;ENSP00000439782;ENSP00000417220;ENSP00000417585;ENSP00000315668;
ENSG00000129173	79733	E2F	ENSP00000434199;ENSP00000250024;
ENSG00000173153	2101	ESR-like	ENSP00000000442;ENSP00000384851;ENSP00000385971;ENSP00000439896;ENSP00000441970;ENSP00000444710;
ENSG00000082175	5241	ESR-like	ENSP00000325120;ENSP00000432352;ENSP00000263463;ENSP00000436561;ENSP00000432914;ENSP00000436803;
ENSG00000091831	2099	ESR-like	ENSP00000342630;ENSP00000415934;ENSP00000394721;ENSP00000401995;ENSP00000384064;ENSP00000405330;ENSP00000387500;ENSP00000206249;
ENSG00000140009	2100	ESR-like	ENSP00000343925;ENSP00000267525;ENSP00000450699;ENSP00000441792;ENSP00000345616;ENSP00000452426;ENSP00000351412;ENSP00000451582;ENSP00000452485;ENSP00000350427;ENSP00000335551;ENSP00000450488;
ENSG00000196482	2104	ESR-like	ENSP00000355904;ENSP00000386171;ENSP00000355907;ENSP00000418629;ENSP00000355225;ENSP00000419155;ENSP00000419594;ENSP00000353108;ENSP00000419514;ENSP00000352077;ENSP00000375761;ENSP00000417374;ENSP00000355905;ENSP00000354584;
ENSG00000169083	367	ESR-like	ENSP00000363822;ENSP00000379358;ENSP00000425199;ENSP00000379359;ENSP00000421155;
ENSG00000151623	4306	ESR-like	ENSP00000421481;ENSP00000341390;ENSP00000423510;ENSP00000347441;ENSP00000343907;ENSP00000350815;
ENSG00000113580	2908	ESR-like	ENSP00000422518;ENSP00000377977;ENSP00000377979;ENSP00000387672;ENSP00000427672;ENSP00000404218;ENSP00000405282;ENSP00000231509;ENSP00000343205;
ENSG00000119715	2103	ESR-like	ENSP00000424992;ENSP00000451658;ENSP00000423004;ENSP00000370270;ENSP00000422488;ENSP00000261532;
ENSG00000105722	2077	ETS	ENSP00000222329;ENSP00000388173;ENSP00000468962;ENSP00000469274;
ENSG00000066336	6688	ETS	ENSP00000227163;ENSP00000367799;
ENSG00000111145	2004	ETS	ENSP00000228741;ENSP00000449430;ENSP00000446806;ENSP00000447857;
ENSG00000120690	1997	ETS	ENSP00000239882;ENSP00000405580;
ENSG00000126767	2002	ETS	ENSP00000247161;ENSP00000467055;ENSP00000345585;ENSP00000366182;
ENSG00000163497	54738	ETS	ENSP00000295727;
ENSG00000135374	2001	ETS	ENSP00000311010;ENSP00000257832;ENSP00000407589;
ENSG00000175832	2118	ETS	ENSP00000321835;ENSP00000465718;ENSP00000441749;ENSP00000443846;ENSP00000468636;ENSP00000377273;ENSP00000440023;
ENSG00000102034	2000	ETS	ENSP00000338608;ENSP00000311280;
ENSG00000010030	51513	ETS	ENSP00000341843;ENSP00000440592;ENSP00000362842;ENSP00000362843;ENSP00000342260;
ENSG00000154727	2551	ETS	ENSP00000346886;ENSP00000382948;
ENSG00000158711	2005	ETS	ENSP00000350681;ENSP00000289703;
ENSG00000163435	1999	ETS	ENSP00000352673;ENSP00000356253;ENSP00000356252;
ENSG00000157557	2114	ETS	ENSP00000353344;ENSP00000354194;
ENSG00000117036	2117	ETS	ENSP00000357175;ENSP00000327316;
ENSG00000124664	25803	ETS	ENSP00000363149;ENSP00000442715;
ENSG00000105672	2116	ETS	ENSP00000368312;ENSP00000385369;ENSP00000384524;ENSP00000475089;ENSP00000368309;ENSP00000468453;
ENSG00000109381	1998	ETS	ENSP00000368868;ENSP00000426087;ENSP00000377782;ENSP00000426997;ENSP00000265495;ENSP00000368867;ENSP00000351458;ENSP00000397796;
ENSG00000134954	2113	ETS	ENSP00000376436;ENSP00000324578;ENSP00000441430;ENSP00000433500;ENSP00000340485;
ENSG00000139083	2120	ETS	ENSP00000379658;ENSP00000266427;
ENSG00000006468	2115	ETS	ENSP00000384085;ENSP00000242066;ENSP00000385381;ENSP00000385551;ENSP00000385686;ENSP00000411626;ENSP00000384138;ENSP00000340853;ENSP00000382293;ENSP00000405327;
ENSG00000157554	2078	ETS	ENSP00000414150;ENSP00000381891;ENSP00000288319;ENSP00000394694;ENSP00000381877;ENSP00000381882;ENSP00000381881;ENSP00000396268;ENSP00000381871;ENSP00000381879;
ENSG00000253831	440695	ETS	ENSP00000430271;
ENSG00000151702	2313	ETS	ENSP00000433488;ENSP00000432950;ENSP00000339627;ENSP00000281428;ENSP00000437124;
ENSG00000135373	26298	ETS	ENSP00000435835;ENSP00000257831;ENSP00000433508;ENSP00000399733;ENSP00000435837;
ENSG00000244405	2119	ETS	ENSP00000441737;ENSP00000306894;ENSP00000413755;
ENSG00000166211	121599	ETS	ENSP00000448580;ENSP00000299272;
ENSG00000269404	6689	ETS	ENSP00000471921;ENSP00000391877;
ENSG00000142539	\N	ETS	ENSP00000473233;
ENSG00000065970	55810	Fork	head
ENSG00000129514	3169	Fork	head
ENSG00000137273	2295	Fork	head
ENSG00000103241	2294	Fork	head
ENSG00000164379	94234	Fork	head
ENSG00000139445	121643	Fork	head
ENSG00000184492	200350	Fork	head
ENSG00000170608	3171	Fork	head
ENSG00000168269	2299	Fork	head
ENSG00000137166	116113	Fork	head
ENSG00000176302	283150	Fork	head
ENSG00000129654	2302	Fork	head
ENSG00000176678	2300	Fork	head
ENSG00000176692	2303	Fork	head
ENSG00000164916	221937	Fork	head
ENSG00000183770	668	Fork	head
ENSG00000186790	2301	Fork	head
ENSG00000186564	2306	Fork	head
ENSG00000141568	3607	Fork	head
ENSG00000118689	2309	Fork	head
ENSG00000187559	286380	Fork	head
ENSG00000111206	2305	Fork	head
ENSG00000053254	1112	Fork	head
ENSG00000170802	3344	Fork	head
ENSG00000187140	27022	Fork	head
ENSG00000198815	22887	Fork	head
ENSG00000204060	100132074	Fork	head
ENSG00000184481	4303	Fork	head
ENSG00000178919	2304	Fork	head
ENSG00000179772	2307	Fork	head
ENSG00000204612	442425	Fork	head
ENSG00000160973	8928	Fork	head
ENSG00000184659	349334	Fork	head
ENSG00000204779	653427	Fork	head
ENSG00000204793	653404	Fork	head
ENSG00000204828	\N	Fork	head
ENSG00000150907	2308	Fork	head
ENSG00000054598	2296	Fork	head
ENSG00000170122	2298	Fork	head
ENSG00000176165	2290	Fork	head
ENSG00000186766	399823	Fork	head
ENSG00000171956	27023	Fork	head
ENSG00000128573	93986	Fork	head
ENSG00000125798	3170	Fork	head
ENSG00000114861	27086	Fork	head
ENSG00000189299	139628	Fork	head
ENSG00000049768	50943	Fork	head
ENSG00000262245	283150	Fork	head
ENSG00000264253	8456	Fork	head
ENSG00000251493	2297	Fork	head
ENSG00000266157	286380	Fork	head
ENSG00000109101	8456	Fork	head
ENSG00000269002	50943	Fork	head
ENSG00000137270	8521	GCM	ENSP00000259803;
ENSG00000124827	9247	GCM	ENSP00000368805;
ENSG00000148200	2649	GCNF-like	ENSP00000420267;ENSP00000362686;ENSP00000413701;ENSP00000341135;ENSP00000420587;
ENSG00000174428	389524	GTF2I	ENSP00000308080;ENSP00000348427;ENSP00000378397;ENSP00000413588;ENSP00000405571;
ENSG00000077809	2969	GTF2I	ENSP00000322542;ENSP00000387651;ENSP00000404240;ENSP00000322671;ENSP00000322599;
ENSG00000196275	84163	GTF2I	ENSP00000385491;ENSP00000402105;ENSP00000354362;
ENSG00000006704	9569	GTF2I	ENSP00000397566;ENSP00000417909;ENSP00000265755;ENSP00000408477;ENSP00000418383;
ENSG00000263001	2969	GTF2I	ENSP00000460070;
ENSG00000261920	9569	GTF2I	ENSP00000460934;ENSP00000458284;ENSP00000458414;ENSP00000460611;ENSP00000461690;
ENSG00000273150	\N	GTF2I	ENSP00000477170;
ENSG00000100281	10042	HMG	ENSP00000216106;ENSP00000398302;
ENSG00000103460	27324	HMG	ENSP00000219746;ENSP00000385705;
ENSG00000124766	6659	HMG	ENSP00000244745;ENSP00000438412;
ENSG00000125398	6662	HMG	ENSP00000245479;
ENSG00000039600	11063	HMG	ENSP00000265007;ENSP00000427984;ENSP00000309343;
ENSG00000138795	51176	HMG	ENSP00000265165;ENSP00000369284;ENSP00000422840;ENSP00000406176;
ENSG00000149136	6749	HMG	ENSP00000278412;
ENSG00000152284	83439	HMG	ENSP00000282111;
ENSG00000005513	30812	HMG	ENSP00000293894;
ENSG00000163939	55193	HMG	ENSP00000296302;ENSP00000386529;ENSP00000349213;ENSP00000386593;ENSP00000386601;ENSP00000386643;ENSP00000338302;ENSP00000378307;ENSP00000387775;
ENSG00000164104	3148	HMG	ENSP00000296503;ENSP00000404912;ENSP00000393448;ENSP00000423001;
ENSG00000164736	64321	HMG	ENSP00000297316;
ENSG00000108312	7343	HMG	ENSP00000302640;ENSP00000431539;ENSP00000377231;ENSP00000435708;ENSP00000345297;ENSP00000431295;ENSP00000433046;ENSP00000437180;ENSP00000432925;ENSP00000390669;
ENSG00000168875	8403	HMG	ENSP00000305343;
ENSG00000114439	56987	HMG	ENSP00000319974;ENSP00000403806;ENSP00000408358;ENSP00000385530;ENSP00000385317;ENSP00000408297;ENSP00000414673;ENSP00000385518;ENSP00000406554;ENSP00000403860;ENSP00000413320;ENSP00000407662;ENSP00000413274;
ENSG00000176887	6664	HMG	ENSP00000322568;
ENSG00000073584	6605	HMG	ENSP00000323967;ENSP00000463282;ENSP00000464061;ENSP00000411607;ENSP00000441857;ENSP00000462475;ENSP00000367039;ENSP00000463216;ENSP00000445370;ENSP00000462857;ENSP00000464511;
ENSG00000064961	10362	HMG	ENSP00000328269;ENSP00000393904;ENSP00000410924;ENSP00000402877;
ENSG00000182968	6656	HMG	ENSP00000330218;
ENSG00000140382	10363	HMG	ENSP00000336856;ENSP00000371133;ENSP00000452864;ENSP00000454136;
ENSG00000203883	54345	HMG	ENSP00000341815;
ENSG00000124191	84969	HMG	ENSP00000344724;ENSP00000390278;ENSP00000350849;ENSP00000362090;
