"","enzyme_gene","class"
"46","DHB7","17-beta-estradiol 17-dehydrogenase"
"47","DHB8","17-beta-estradiol 17-dehydrogenase"
"48","DHR11","17-beta-estradiol 17-dehydrogenase"
"49","H17B6","17-beta-estradiol 17-dehydrogenase"
"50","AK1C3","Testosterone 17-beta-dehydrogenase (NADP(+))"
"51","DHB3","Testosterone 17-beta-dehydrogenase (NADP(+))"
"52","GRHPR","Glyoxylate reductase (NADP(+))"
"53","GRHPR","Hydroxypyruvate reductase"
"54","SERA","Phosphoglycerate dehydrogenase"
"55","MDHC","Diiodophenylpyruvate reductase"
"56","FAS","3-oxoacyl-[acyl-carrier-protein] reductase"
"57","KDSR","3-dehydrosphinganine reductase"
"58","H17B6","All-trans-retinol dehydrogenase (NAD(+))"
"59","RDHE2","All-trans-retinol dehydrogenase (NAD(+))"
"60","AK1C1","Indanol dehydrogenase"
"61","AK1C3","Indanol dehydrogenase"
"62","PGDH","15-hydroxyprostaglandin dehydrogenase (NAD(+))"
"63","3BHS1","3-beta-hydroxy-Delta(5)-steroid dehydrogenase"
"64","3BHS2","3-beta-hydroxy-Delta(5)-steroid dehydrogenase"
"65","DHI1","11-beta-hydroxysteroid dehydrogenase"
"66","AK1C1","20-alpha-hydroxysteroid dehydrogenase"
"67","SPRE","Sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming)"
"68","NSDHL","(decarboxylating)"
"69","HCD2","3-hydroxy-2-methylbutyryl-CoA dehydrogenase"
"70","DHDH","D-xylose 1-dehydrogenase (NADP(+))"
"71","3BHS7","Cholest-5-ene-3-beta,7-alpha-diol 3-beta-dehydrogenase"
"72","CBR1","Carbonyl reductase (NADPH)"
"73","CBR3","Carbonyl reductase (NADPH)"
"74","DHRS4","Carbonyl reductase (NADPH)"
"75","AK1C3","Prostaglandin-F synthase"
"76","CBR1","Prostaglandin-E(2) 9-reductase"
"77","CBR1","15-hydroxyprostaglandin dehydrogenase (NADP(+))"
"78","IMDH1","IMP dehydrogenase"
"79","IMDH2","IMP dehydrogenase"
"80","ECHA","Long-chain-3-hydroxyacyl-CoA dehydrogenase"
"81","AK1C4","Chlordecone reductase"
"82","AK1C3","3-alpha-(17-beta)-hydroxysteroid dehydrogenase (NAD(+))"
"83","DHB2","3-alpha-(17-beta)-hydroxysteroid dehydrogenase (NAD(+))"
"84","DHB8","3-alpha-(17-beta)-hydroxysteroid dehydrogenase (NAD(+))"
"85","H17B6","3-alpha-(17-beta)-hydroxysteroid dehydrogenase (NAD(+))"
"86","AKCL2","1,5-anhydro-D-fructose reductase"
"87","DHB7","3-beta-hydroxysteroid 3-dehydrogenase"
"88","DHR11","3-beta-hydroxysteroid 3-dehydrogenase"
"89","FCL","GDP-L-fucose synthase"
"90","ADHX","S-(hydroxymethyl)glutathione dehydrogenase"
"91","DHRS3","NADP-retinol dehydrogenase"
"92","RDH10","NADP-retinol dehydrogenase"
"93","RDH11","NADP-retinol dehydrogenase"
"94","RDH8","NADP-retinol dehydrogenase"
"95","RDH1","11-cis-retinol dehydrogenase"
"96","DHB12","Very-long-chain 3-oxoacyl-CoA reductase"
"97","AK1C2","3-alpha-hydroxysteroid 3-dehydrogenase"
"98","AK1C3","3-alpha-hydroxysteroid 3-dehydrogenase"
"99","AK1C4","3-alpha-hydroxysteroid 3-dehydrogenase"
"100","G6PE","Glucose-6-phosphate dehydrogenase (NAD(P)(+))"
"101","SERA","2-oxoglutarate reductase"
"102","ARK72","Succinic semialdehyde reductase"
"103","DHB4","(3R)-hydroxyacyl-CoA dehydrogenase"
"104","LDHD","D-lactate dehydrogenase (cytochrome)"
"105","HAOX1","(S)-2-hydroxy-acid oxidase"
"106","HAOX2","(S)-2-hydroxy-acid oxidase"
"107","GPDM","Glycerol-3-phosphate dehydrogenase"
"108","CHDH","Choline dehydrogenase"
"109","L2HDH","L-2-hydroxyglutarate dehydrogenase"
"110","HOT","Hydroxyacid-oxoacid transhydrogenase"
"111","AL1B1","Aldehyde dehydrogenase (NAD(+))"
"112","AL3A2","Aldehyde dehydrogenase (NAD(+))"
"113","AL7A1","Aldehyde dehydrogenase (NAD(+))"
"114","AL9A1","Aldehyde dehydrogenase (NAD(+))"
"115","ALDH2","Aldehyde dehydrogenase (NAD(+))"
"116","AL1A3","Aldehyde dehydrogenase (NAD(P)(+))"
"117","AL3A1","Aldehyde dehydrogenase (NAD(P)(+))"
"118","AL3B1","Aldehyde dehydrogenase (NAD(P)(+))"
"119","AL3B2","Aldehyde dehydrogenase (NAD(P)(+))"
"120","AL7A1","Betaine-aldehyde dehydrogenase"
"121","G3PT","Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)"
"122","G3P","Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)"
"123","MMSA","Malonate-semialdehyde dehydrogenase (acetylating)"
"124","AL9A1","Aminobutyraldehyde dehydrogenase"
"125","SSDH","Succinate-semialdehyde dehydrogenase (NAD(+))"
"126","MMSA","Methylmalonate-semialdehyde dehydrogenase (CoA acylating)"
"127","AL7A1","L-aminoadipate-semialdehyde dehydrogenase"
"128","AL1A1","Retinal dehydrogenase"
"129","AL1A2","Retinal dehydrogenase"
"130","P5CS","Glutamate-5-semialdehyde dehydrogenase"
"131","AL9A1","4-trimethylammoniobutyraldehyde dehydrogenase"
"132","FACR1","Alcohol-forming fatty acyl-CoA reductase"
"133","FACR2","Alcohol-forming fatty acyl-CoA reductase"
"134","AL4A1","L-glutamate gamma-semialdehyde dehydrogenase"
"135","AOXA","Aldehyde oxidase"
"136","ODPAT","Pyruvate dehydrogenase (acetyl-transferring)"
"137","ODPA","Pyruvate dehydrogenase (acetyl-transferring)"
"138","ODPB","Pyruvate dehydrogenase (acetyl-transferring)"
"139","DHTK1","Oxoglutarate dehydrogenase (succinyl-transferring)"
"140","ODO1","Oxoglutarate dehydrogenase (succinyl-transferring)"
"141","ODBA","3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)"
"142","ODBB","3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)"
"143","DPYD","Dihydropyrimidine dehydrogenase (NADP(+))"
"144","AK1D1","Delta(4)-3-oxosteroid 5-beta-reductase"
"145","AK1C1","Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase"
"146","AK1C2","Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase"
"147","AK1C3","Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase"
"148","DHDH","Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase"
"149","DHCR7","7-dehydrocholesterol reductase"
"150","PORED","3-oxo-5-alpha-steroid 4-dehydrogenase (NADP(+))"
"151","S5A1","3-oxo-5-alpha-steroid 4-dehydrogenase (NADP(+))"
"152","S5A2","3-oxo-5-alpha-steroid 4-dehydrogenase (NADP(+))"
"153","BIEA","Biliverdin reductase"
"154","BLVRB","Biliverdin reductase"
"155","DECR2","2,4-dienoyl-CoA reductase (NADPH)"
"156","DECR","2,4-dienoyl-CoA reductase (NADPH)"
"157","PECR","Trans-2-enoyl-CoA reductase (NADPH)"
"158","FAS","Enoyl-[acyl-carrier-protein] reductase (NADPH, Re-specific)"
"159","PTGR1","15-oxoprostaglandin 13-reductase"
"160","PTGR2","15-oxoprostaglandin 13-reductase"
"161","PTGR3","15-oxoprostaglandin 13-reductase"
"162","ERG24","Delta(14)-sterol reductase"
"163","DHC24","Delta(24)-sterol reductase"
"164","PTGR1","2-alkenal reductase (NAD(P)(+))"
"165","TECR","Very-long-chain enoyl-CoA reductase"
"166","PORED","Polyprenol reductase"
"167","MECR","Enoyl-[acyl-carrier-protein] reductase"
"168","HEM6","Coproporphyrinogen oxidase"
"169","PPOX","Protoporphyrinogen oxidase"
"170","ACOX1","Acyl-CoA oxidase"
"171","ACOX3","Acyl-CoA oxidase"
"172","SDHA","Succinate dehydrogenase (quinone)"
"173","SDHB","Succinate dehydrogenase (quinone)"
"174","PYRD","Dihydroorotate dehydrogenase (quinone)"
"175","ACADS","Short-chain acyl-CoA dehydrogenase"
"176","IVD","Isovaleryl-CoA dehydrogenase"
"177","ACDSB","2-methyl-branched-chain-enoyl-CoA reductase"
"178","GCDH","Glutaryl-CoA dehydrogenase (ETF)"
"179","ACADM","Medium-chain acyl-CoA dehydrogenase"
"180","ACADL","Long-chain-acyl-CoA dehydrogenase"
"181","ACADV","Very-long-chain acyl-CoA dehydrogenase"
"182","RETST","All-trans-retinol 13,14-reductase"
"183","DHE3","Glutamate dehydrogenase (NAD(P)(+))"
"184","DHE4","Glutamate dehydrogenase (NAD(P)(+))"
"185","ASPD","Aspartate dehydrogenase"
"186","OXDD","D-aspartate oxidase"
"187","OXLA","L-amino-acid oxidase"
"188","OXDA","D-amino-acid oxidase"
"189","AOFA","Monoamine oxidase"
"190","AOFB","Monoamine oxidase"
"191","PNPO","Pyridoxal 5'-phosphate synthase"
"192","LOXL2","Protein-lysine 6-oxidase"
"193","LOXL3","Protein-lysine 6-oxidase"
"194","LYOX","Protein-lysine 6-oxidase"
"195","AOC2","Primary-amine oxidase"
"196","AOC3","Primary-amine oxidase"
"197","AOC1","Diamine oxidase"
"198","GCSP","Glycine dehydrogenase (aminomethyl-transferring)"
"199","P5CR1","Pyrroline-5-carboxylate reductase"
"200","P5CR2","Pyrroline-5-carboxylate reductase"
"201","P5CR3","Pyrroline-5-carboxylate reductase"
"202","DYR2","Dihydrofolate reductase"
"203","DYR","Dihydrofolate reductase"
"204","C1TC","Methylenetetrahydrofolate dehydrogenase (NADP(+))"
"205","AL1L1","Formyltetrahydrofolate dehydrogenase"
"206","AL1L2","Formyltetrahydrofolate dehydrogenase"
"207","AASS","Saccharopine dehydrogenase (NADP(+), L-lysine-forming)"
"208","AASS","Saccharopine dehydrogenase (NAD(+), L-glutamate-forming)"
"209","MTD2L","Methylenetetrahydrofolate dehydrogenase (NAD(+))"
"210","MTDC","Methylenetetrahydrofolate dehydrogenase (NAD(+))"
"211","MTHR","Methylenetetrahydrofolate reductase (NAD(P)H)"
"212","CRYM","Thiomorpholine-carboxylate dehydrogenase"
"213","BLVRB","Flavin reductase (NADPH)"
"214","DHPR","6,7-dihydropteridine reductase"
"215","SOX","Sarcosine oxidase"
"216","SOX","L-pipecolate oxidase"
"217","PAOX","N(1)-acetylpolyamine oxidase"
"218","SMOX","Spermine oxidase"
"219","ETFD","Electron-transferring-flavoprotein dehydrogenase"
"220","HYPDH","Proline dehydrogenase"
"221","PROD","Proline dehydrogenase"
"222","HYPDH","Hydroxyproline dehydrogenase"
"223","SARDH","Sarcosine dehydrogenase"
"224","M2GD","Dimethylglycine dehydrogenase"
"225","NNTM","NAD(P)(+) transhydrogenase (Re/Si-specific)"
"226","NB5R1","Cytochrome-b5 reductase"
"227","NB5R2","Cytochrome-b5 reductase"
"228","NB5R3","Cytochrome-b5 reductase"
"229","NB5R4","Cytochrome-b5 reductase"
"230","NB5R5","Cytochrome-b5 reductase"
"231","NCPR","NADPH--hemoprotein reductase"
"232","DUOX1","NAD(P)H oxidase (H(2)O(2)-forming)"
"233","DUOX2","NAD(P)H oxidase (H(2)O(2)-forming)"
"234","RNLS","Renalase"
"235","NQO1","NAD(P)H dehydrogenase (quinone)"
"236","QOR","NADPH:quinone reductase"
"237","NDUS1","NADH dehydrogenase"
"238","NDUS2","NADH dehydrogenase"
"239","NDUS3","NADH dehydrogenase"
"240","NDUS7","NADH dehydrogenase"
"241","NDUS8","NADH dehydrogenase"
"242","NDUV1","NADH dehydrogenase"
"243","NDUV2","NADH dehydrogenase"
"244","GMPR1","GMP reductase"
"245","GMPR2","GMP reductase"
"246","DLDH","Dihydrolipoyl dehydrogenase"
"247","GSHR","Glutathione-disulfide reductase"
"248","NXN","Protein-disulfide reductase"
"249","SELT","Thioredoxin-disulfide reductase"
"250","TRXR1","Thioredoxin-disulfide reductase"
"251","TRXR2","Thioredoxin-disulfide reductase"
"252","TRXR3","Thioredoxin-disulfide reductase"
"253","SUOX","Sulfite oxidase"
"254","ALR","Thiol oxidase"
"255","QSOX1","Thiol oxidase"
"256","QSOX2","Thiol oxidase"
"257","SBP1","Methanethiol oxidase"
"258","PCYOX","Prenylcysteine oxidase"
"259","SUMF1","Formylglycine-generating enzyme"
"260","TXD12","Protein-disulfide reductase (glutathione)"
"261","MSRA","Peptide-methionine (S)-S-oxide reductase"
"262","MSRB1","Peptide-methionine (R)-S-oxide reductase"
"263","MSRB2","Peptide-methionine (R)-S-oxide reductase"
"264","MSRB3","Peptide-methionine (R)-S-oxide reductase"
"265","MSRB1","L-methionine (R)-S-oxide reductase"
"266","MSRB2","L-methionine (R)-S-oxide reductase"
"267","MSRB3","L-methionine (R)-S-oxide reductase"
"268","GSTO1","Glutathione dehydrogenase (ascorbate)"
"269","GSTO2","Glutathione dehydrogenase (ascorbate)"
"270","SRXN1","Sulfiredoxin"
"271","COX1","Cytochrome-c oxidase"
"272","UCRI","Quinol--cytochrome-c reductase"
"273","NQO2","Ribosyldihydronicotinamide dehydrogenase (quinone)"
"274","CATA","Catalase"
"275","PERE","Peroxidase"
"276","PERL","Peroxidase"
"277","PXDNL","Peroxidase"
"278","PXDN","Peroxidase"
"279","PERT","Iodide peroxidase"
"280","GPX1","Glutathione peroxidase"
"281","GPX2","Glutathione peroxidase"
"282","GPX3","Glutathione peroxidase"
"283","GPX5","Glutathione peroxidase"
"284","GPX6","Glutathione peroxidase"
"285","GPX7","Glutathione peroxidase"
"286","GPX8","Glutathione peroxidase"
"287","GPX4","Phospholipid-hydroperoxide glutathione peroxidase"
"288","PRDX1","Peroxiredoxin"
"289","PRDX2","Peroxiredoxin"
"290","PRDX3","Peroxiredoxin"
"291","PRDX4","Peroxiredoxin"
"292","PRDX5","Peroxiredoxin"
"293","PRDX6","Peroxiredoxin"
"294","SESN1","Peroxiredoxin"
"295","SESN2","Peroxiredoxin"
"296","PXL2B","Prostamide/prostaglandin F(2-alpha) synthase"
"297","PERM","Myeloperoxidase"
"298","HGD","Homogentisate 1,2-dioxygenase"
"299","3HAO","3-hydroxyanthranilate 3,4-dioxygenase"
"300","T23O","Tryptophan 2,3-dioxygenase"
"301","ETHE1","Persulfide dioxygenase"
"302","AEDO","Cysteamine dioxygenase"
"303","CDO1","Cysteine dioxygenase"
"304","PIR","Quercetin 2,3-dioxygenase"
"305","HPPD","4-hydroxyphenylpyruvate dioxygenase"
"306","LOX12","Arachidonate 12-lipoxygenase"
"307","LOX15","Arachidonate 12-lipoxygenase"
"308","LOX15","Arachidonate 15-lipoxygenase"
"309","LX15B","Arachidonate 15-lipoxygenase"
"310","LOX5","Arachidonate 5-lipoxygenase"
"311","I23O1","Indoleamine 2,3-dioxygenase"
"312","MTND","Acireductone dioxygenase (Fe(2+)-requiring)"
"313","BCDO1","Beta-carotene 15,15'-dioxygenase"
"314","BCDO2","Carotenoid-9',10'-cleaving dioxygenase"
"315","MIOX","Inositol oxygenase"
"316","BODG","Gamma-butyrobetaine dioxygenase"
"317","P4HA1","Procollagen-proline 4-dioxygenase"
"318","P4HA2","Procollagen-proline 4-dioxygenase"
"319","P4HA3","Procollagen-proline 4-dioxygenase"
"320","PLOD1","Procollagen-lysine 5-dioxygenase"
"321","PLOD2","Procollagen-lysine 5-dioxygenase"
"322","PLOD3","Procollagen-lysine 5-dioxygenase"
"323","P3H1","Procollagen-proline 3-dioxygenase"
"324","P3H2","Procollagen-proline 3-dioxygenase"
"325","P3H3","Procollagen-proline 3-dioxygenase"
"326","TMLH","Trimethyllysine dioxygenase"
"327","ASPH","Peptide-aspartate beta-dioxygenase"
"328","PAHX","Phytanoyl-CoA dioxygenase"
"329","KDM2A","[Histone H3]-lysine-36 demethylase"
"330","KDM2B","[Histone H3]-lysine-36 demethylase"
"331","KDM8","[Histone H3]-lysine-36 demethylase"
"332","PHF8","[Histone H3]-lysine-36 demethylase"
"333","RIOX1","[Histone H3]-lysine-36 demethylase"
"334","EGLN1","Hypoxia-inducible factor-proline dioxygenase"
"335","EGLN2","Hypoxia-inducible factor-proline dioxygenase"
"336","EGLN3","Hypoxia-inducible factor-proline dioxygenase"
"337","HIF1N","Hypoxia-inducible factor-asparagine dioxygenase"
"338","ALKB1","DNA oxidative demethylase"
"339","ALKB2","DNA oxidative demethylase"
"340","TYW5","tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-C(2))-hydroxylase"
"341","ALKB1","DNA N(6)-methyladenine demethylase"
"342","ALKB3","mRNA N(1)-methyladenine demethylase"
"343","TET1","Methylcytosine dioxygenase"
"344","TET2","Methylcytosine dioxygenase"
"345","TET3","Methylcytosine dioxygenase"
"346","HIF1N","Ankyrin-repeat-histidine dioxagenase"
"347","FMO1","Flavin-containing monooxygenase"
"348","FMO2","Flavin-containing monooxygenase"
"349","FMO3","Flavin-containing monooxygenase"
"350","FMO4","Flavin-containing monooxygenase"
"351","FMO5","Flavin-containing monooxygenase"
"352","FMO6","Flavin-containing monooxygenase"
"353","KMO","Kynurenine 3-monooxygenase"
"354","NOS1","Nitric-oxide synthase (NADPH)"
"355","NOS2","Nitric-oxide synthase (NADPH)"
"356","NOS3","Nitric-oxide synthase (NADPH)"
"357","FMO3","Trimethylamine monooxygenase"
"358","MICA1","F-actin monooxygenase"
"359","MICA2","F-actin monooxygenase"
"360","MICA3","F-actin monooxygenase"
"361","CP2E1","4-nitrophenol 2-hydroxylase"
"362","CP1A1","Unspecific monooxygenase"
"363","CP1A2","Unspecific monooxygenase"
"364","CP1B1","Unspecific monooxygenase"
"365","CP2A7","Unspecific monooxygenase"
"366","CP2AD","Unspecific monooxygenase"
"367","CP2C8","Unspecific monooxygenase"
"368","CP2CI","Unspecific monooxygenase"
"369","CP2D6","Unspecific monooxygenase"
"370","CP2D7","Unspecific monooxygenase"
"371","CP2F1","Unspecific monooxygenase"
"372","CP2J2","Unspecific monooxygenase"
"373","CP2S1","Unspecific monooxygenase"
"374","CP2U1","Unspecific monooxygenase"
"375","CP343","Unspecific monooxygenase"
"376","CP3A5","Unspecific monooxygenase"
"377","CP3A7","Unspecific monooxygenase"
"378","CP4B1","Unspecific monooxygenase"
"379","CP4F8","Unspecific monooxygenase"
"380","CP4FC","Unspecific monooxygenase"
"381","CP4X1","Unspecific monooxygenase"
"382","CP4Z1","Unspecific monooxygenase"
"383","CP19A","Aromatase"
"384","CP21A","Steroid 21-monooxygenase"
"385","ERG1","Squalene monooxygenase"
"386","HMOX1","Heme oxygenase (biliverdin-producing)"
"387","HMOX2","Heme oxygenase (biliverdin-producing)"
"388","CP17A","Steroid 17-alpha-monooxygenase"
"389","CP7A1","Cholesterol 7-alpha-monooxygenase"
"390","CP2R1","Vitamin D 25-hydroxylase"
"391","CP46A","Cholesterol 24-hydroxylase"
"392","CP39A","24-hydroxycholesterol 7-alpha-hydroxylase"
"393","CP7B1","25/26-hydroxycholesterol 7-alpha-hydroxylase"
"394","CP17A","17-alpha-hydroxyprogesterone deacetylase"
"395","CP2C9","(S)-limonene 6-monooxygenase"
"396","CP2CJ","(S)-limonene 6-monooxygenase"
"397","CP2C9","(S)-limonene 7-monooxygenase"
"398","CP2CJ","(S)-limonene 7-monooxygenase"
"399","CP2C9","(R)-limonene 6-monooxygenase"
"400","CP2CJ","(R)-limonene 6-monooxygenase"
"401","CP3A4","Quinine 3-monooxygenase"
"402","CP3A4","1,8-cineole 2-exo-monooxygenase"
"403","CP4F2","Phylloquinone omega-hydroxylase"
"404","CP4FB","Phylloquinone omega-hydroxylase"
"405","CP4F3","Docosahexaenoic acid omega-hydroxylase"
"406","CP4V2","Docosahexaenoic acid omega-hydroxylase"
"407","CP4AB","Long-chain fatty acid omega-monooxygenase"
"408","CP4AM","Long-chain fatty acid omega-monooxygenase"
"409","CP4F2","Leukotriene-B(4) 20-monooxygenase"
"410","CP4F3","Leukotriene-B(4) 20-monooxygenase"
"411","CP51A","Sterol 14-alpha-demethylase"
"412","C11B1","Steroid 11-beta-monooxygenase"
"413","C11B2","Steroid 11-beta-monooxygenase"
"414","C11B2","Corticosterone 18-monooxygenase"
"415","CP11A","Cholesterol monooxygenase (side-chain-cleaving)"
"416","CP27A","Cholestanetriol 26-monooxygenase"
"417","CP24A","Vitamin D(3) 24-hydroxylase"
"418","CP27B","Calcidiol 1-monooxygenase"
"419","PH4H","Phenylalanine 4-monooxygenase"
"420","TY3H","Tyrosine 3-monooxygenase"
"421","TPH1","Tryptophan 5-monooxygenase"
"422","TPH2","Tryptophan 5-monooxygenase"
"423","ALKMO","Alkylglycerol monooxygenase"
"424","DOPO","Dopamine beta-monooxygenase"
"425","AMD","Peptidylglycine monooxygenase"
"426","TYRO","Tyrosinase"
"427","DEGS2","Sphingolipid C4-monooxygenase"
"428","CP8B1","7-alpha-hydroxycholest-4-en-3-one 12-alpha-hydroxylase"
"429","MSMO1","Methylsterol monooxygenase"
"430","ACOD","Stearoyl-CoA 9-desaturase"
"431","SCD5","Stearoyl-CoA 9-desaturase"
"432","FADS2","Acyl-CoA 6-desaturase"
"433","DEGS1","Sphingolipid 4-desaturase"
"434","DEGS2","Sphingolipid 4-desaturase"
"435","SC5D","Delta(7)-sterol 5(6)-desaturase"
"436","C27C1","All-trans-retinol 3,4-desaturase"
"437","PGH1","Prostaglandin-endoperoxide synthase"
"438","PGH2","Prostaglandin-endoperoxide synthase"
"439","DOHH","Deoxyhypusine monooxygenase"
"440","CH25H","Cholesterol 25-hydroxylase"
"441","SODC","Superoxide dismutase"
"442","SODE","Superoxide dismutase"
"443","SODM","Superoxide dismutase"
"444","MTRR","[Methionine synthase] reductase"
"445","CERU","Ferroxidase"
"446","FRDA","Ferroxidase"
"447","FRIH","Ferroxidase"
"448","FTMT","Ferroxidase"
"449","XDH","Xanthine dehydrogenase"
"450","XDH","Xanthine oxidase"
"451","RIR1","Ribonucleoside-diphosphate reductase"
"452","RIR2B","Ribonucleoside-diphosphate reductase"
"453","RIR2","Ribonucleoside-diphosphate reductase"
"454","VKOR1","Vitamin-K-epoxide reductase (warfarin-sensitive)"
"455","VKORL","Vitamin-K-epoxide reductase (warfarin-sensitive)"
"456","ACOX2","24-hydroxylase"
"457","ADRO","Adrenodoxin-NADP(+) reductase"
"458","GSTO1","Methylarsonate reductase"
"459","GSTO2","Methylarsonate reductase"
"460","IYD1","Iodotyrosine deiodinase"
"461","IOD3","Thyroxine 5-deiodinase"
"462","IOD1","Thyroxine 5'-deiodinase"
"463","IOD2","Thyroxine 5'-deiodinase"
"464","NNMT","Nicotinamide N-methyltransferase"
"465","GAMT","Guanidinoacetate N-methyltransferase"
"466","ASMT","Acetylserotonin O-methyltransferase"
"467","BHMT1","Betaine--homocysteine S-methyltransferase"
"468","COMT","Catechol O-methyltransferase"
"469","TOMT","Catechol O-methyltransferase"
"470","HNMT","Histamine N-methyltransferase"
"471","BHMT2","Homocysteine S-methyltransferase"
"472","METH","Methionine synthase"
"473","PEMT","Phosphatidylethanolamine N-methyltransferase"
"474","GNMT","Glycine N-methyltransferase"
"475","CARME","Carnosine N-methyltransferase"
"476","PNMT","Phenylethanolamine N-methyltransferase"
"477","TRMB","tRNA (guanine(46)-N(7))-methyltransferase"
"478","TRM2","tRNA (uracil(54)-C(5))-methyltransferase"
"479","DNM3A","DNA (cytosine-5-)-methyltransferase"
"480","DNM3B","DNA (cytosine-5-)-methyltransferase"
"481","DNMT1","DNA (cytosine-5-)-methyltransferase"
"482","ASH1L","Histone-lysine N-methyltransferase"
"483","DOT1L","Histone-lysine N-methyltransferase"
"484","EHMT1","Histone-lysine N-methyltransferase"
"485","EHMT2","Histone-lysine N-methyltransferase"
"486","EZH1","Histone-lysine N-methyltransferase"
"487","EZH2","Histone-lysine N-methyltransferase"
"488","KMT2A","Histone-lysine N-methyltransferase"
"489","KMT2B","Histone-lysine N-methyltransferase"
"490","KMT2C","Histone-lysine N-methyltransferase"
"491","KMT2D","Histone-lysine N-methyltransferase"
"492","KMT5A","Histone-lysine N-methyltransferase"
"493","KMT5B","Histone-lysine N-methyltransferase"
"494","KMT5C","Histone-lysine N-methyltransferase"
"495","NSD1","Histone-lysine N-methyltransferase"
"496","NSD2","Histone-lysine N-methyltransferase"
"497","NSD3","Histone-lysine N-methyltransferase"
"498","PRDM2","Histone-lysine N-methyltransferase"
"499","PRDM6","Histone-lysine N-methyltransferase"
"500","PRDM7","Histone-lysine N-methyltransferase"
"501","PRDM9","Histone-lysine N-methyltransferase"
"502","SET1A","Histone-lysine N-methyltransferase"
"503","SET1B","Histone-lysine N-methyltransferase"
"504","SETB1","Histone-lysine N-methyltransferase"
"505","SETB2","Histone-lysine N-methyltransferase"
"506","SETD2","Histone-lysine N-methyltransferase"
"507","SETD3","Histone-lysine N-methyltransferase"
"508","SETD7","Histone-lysine N-methyltransferase"
"509","SETMR","Histone-lysine N-methyltransferase"
"510","SMYD1","Histone-lysine N-methyltransferase"
"511","SMYD2","Histone-lysine N-methyltransferase"
"512","SMYD3","Histone-lysine N-methyltransferase"
"513","SUV91","Histone-lysine N-methyltransferase"
"514","SUV92","Histone-lysine N-methyltransferase"
"515","TYSY","Thymidylate synthase"
"516","INMT","Amine N-methyltransferase"
"517","MCES","mRNA (guanine-N(7)-)-methyltransferase"
"518","CMTR1","Methyltransferase cap1"
