"Type","Family id","Family name","Target id","Target name","Subunits","Target systematic name","Target abbreviated name","synonyms","HGNC id","HGNC symbol","HGNC name","Human genetic localisation","Human nucleotide RefSeq","Human protein RefSeq","Human SwissProt","Human Entrez Gene","RGD id","RGD symbol","RGD name","Rat genetic localisation","Rat nucleotide RefSeq","Rat protein RefSeq","Rat SwissProt","Rat Entrez Gene","MGI id","MGI symbol","MGI name","Mouse genetic localisation","Mouse nucleotide RefSeq","Mouse protein RefSeq","Mouse SwissProt","Mouse Entrez Gene"
"gpcr","1","5-Hydroxytryptamine receptors","648","5-ht<sub>5b</sub> receptor","","","","GPR134|HTR5B|G protein-coupled receptor 134|5Ht5b|MR22|serotonin receptor 5B|5-hydroxytryptamine (serotonin) receptor 5B, pseudogene","16291","HTR5BP","5-hydroxytryptamine receptor 5B, pseudogene","2q14.1","NG_008325","","","645694","62388","Htr5b","5-hydroxytryptamine (serotonin) receptor 5B","13p12","NM_024395","NP_077371","P35365","79247","MGI:96284","Htr5b","5-hydroxytryptamine (serotonin) receptor 5B","1 63.0 cM","NM_010483","","P31387","15564"
"gpcr","1","5-Hydroxytryptamine receptors","11","5-HT<sub>6</sub> receptor","","","","5-HT6|serotonin receptor 6|ST-B17|5-hydroxytryptamine (serotonin) receptor 6, G protein-coupled","5301","HTR6","5-hydroxytryptamine receptor 6","1p36-p35","NM_000871","NP_000862","P50406","3362","62044","Htr6","5-hydroxytryptamine receptor 6","5","NM_024365","NP_077341","P31388","64354","MGI:1196627","Htr6","5-hydroxytryptamine (serotonin) receptor 6","4 D3","NM_021358","NP_067333","Q9R1C8","15565"
"gpcr","1","5-Hydroxytryptamine receptors","12","5-HT<sub>7</sub> receptor","","","","5-HTx|5-HT<sub>1Y</sub>|5-HT7|GPRFO|serotonin receptor 7|5-hydroxytryptamine (serotonin) receptor 7, adenylate cyclase-coupled","5302","HTR7","5-hydroxytryptamine receptor 7","10q21-q24","NM_000872","NP_000863","P34969","3363","71034","Htr7","5-hydroxytryptamine receptor 7","1q53","NM_022938","NP_075227","P32305","65032","MGI:99841","Htr7","5-hydroxytryptamine (serotonin) receptor 7","19 C2","NM_008315","NP_032341","P32304","15566"
"gpcr","2","Acetylcholine receptors (muscarinic)","13","M<sub>1</sub> receptor","","","","M1 muscarinic acetylcholine receptor|Chrm-1|M1R|cholinergic receptor, muscarinic 1|cholinergic receptor","1950","CHRM1","cholinergic receptor muscarinic 1","11q13","NM_000738","NP_000729","P11229","1128","2342","Chrm1","cholinergic receptor, muscarinic 1","1q43-q51","NM_080773","NP_542951","P08482","25229","MGI:88396","Chrm1","cholinergic receptor, muscarinic 1, CNS","19 A","NM_007698","NP_031724","P12657","12669"
"gpcr","2","Acetylcholine receptors (muscarinic)","14","M<sub>2</sub> receptor","","","","M2 muscarinic acetylcholine receptor|AChR M2|Chrm-2|cholinergic receptor, muscarinic 2|cholinergic receptor","1951","CHRM2","cholinergic receptor muscarinic 2","7q31-q35","NM_000739","NP_000730","P08172","1129","620023","Chrm2","cholinergic receptor, muscarinic 2","4q22","NM_031016","NP_112278","P10980","81645","MGI:88397","Chrm2","cholinergic receptor, muscarinic 2, cardiac","6 B1","NM_203491","NP_987076","Q9ERZ4","243764"
"gpcr","2","Acetylcholine receptors (muscarinic)","15","M<sub>3</sub> receptor","","","","HM4|Chrm-3|M3R|cholinergic receptor, muscarinic 3|cholinergic receptor","1952","CHRM3","cholinergic receptor muscarinic 3","1q41-q44","NM_000740","NP_000731","P20309","1131","2343","Chrm3","cholinergic receptor, muscarinic 3","17q12.1","NM_012527","NP_036659","P08483","24260","MGI:88398","Chrm3","cholinergic receptor, muscarinic 3, cardiac","13 A1","NM_033269","NP_150372","Q9ERZ3","12671"
"gpcr","2","Acetylcholine receptors (muscarinic)","16","M<sub>4</sub> receptor","","","","HM3|Chrm-4|cholinergic receptor, muscarinic 4|cholinergic receptor","1953","CHRM4","cholinergic receptor muscarinic 4","11p12-p11.2","NM_000741","NP_000732","P08173","1132","2344","Chrm4","cholinergic receptor, muscarinic 4","3q32-q35","NM_031547","NP_113735","P08485","25111","MGI:88399","Chrm4","cholinergic receptor, muscarinic 4","2 E1","NM_007699","NP_031725","P32211","12672"
"gpcr","2","Acetylcholine receptors (muscarinic)","17","M<sub>5</sub> receptor","","","","M5R|cholinergic receptor, muscarinic 5|cholinergic receptor","1954","CHRM5","cholinergic receptor muscarinic 5","15q26","NM_012125","NP_036257","P08912","1133","620027","Chrm5","cholinergic receptor, muscarinic 5","3q34","NM_017362","NP_059058","P08911","53949","MGI:109248","Chrm5","cholinergic receptor, muscarinic 5","2 E3","NM_205783","NP_991352","Q920H4","213788"
"gpcr","3","Adenosine receptors","18","A<sub>1</sub> receptor","","","","RDC7|adenosine receptor A1|A1-AR|A1R","262","ADORA1","adenosine A1 receptor","1q32.1","NM_000674","NP_000665","P30542","134","2048","Adora1","adenosine A1 receptor","13q13","NM_017155","NP_058851","P25099","29290","MGI:99401","Adora1","adenosine A1 receptor","1 E4","NM_001008533","NP_001008533","Q60612","11539"
"gpcr","3","Adenosine receptors","19","A<sub>2A</sub> receptor","","","","RDC8|A2-AR|adenosine receptor A2a","263","ADORA2A","adenosine A2a receptor","22q11.23","NM_000675","NP_000666","P29274","135","2049","Adora2a","adenosine A2a receptor","20p12","NM_053294","NP_445746","P30543","25369","MGI:99402","Adora2a","adenosine A2a receptor","10","NM_009630","NP_033760","Q60613","11540"
"gpcr","3","Adenosine receptors","20","A<sub>2B</sub> receptor","","","","adenosine receptor A2b|A2b|A2BR","264","ADORA2B","adenosine A2b receptor","17p12-p11.2","NM_000676","NP_000667","P29275","136","2050","Adora2b","adenosine A2B receptor","10q23","NM_017161","NP_058857","P29276","29316","MGI:99403","Adora2b","adenosine A2b receptor","11 B2","NM_007413","NP_031439","Q60614","11541"
"gpcr","3","Adenosine receptors","21","A<sub>3</sub> receptor","","","","Adenosine receptor A3|TGPCR1|A3AR|ARA3","268","ADORA3","adenosine A3 receptor","1p13.2","NM_000677","NP_000668","P0DMS8","140","2051","Adora3","adenosine A3 receptor","2q34","NM_012896","NP_037028","P28647","25370","MGI:104847","Adora3","adenosine A3 receptor","3 F2.3","NM_009631","NP_033761","Q61618","11542"
"gpcr","17","Adhesion Class GPCRs","197","ADGRA1","","","","GPR123 (G protein-coupled receptor 123)","13838","ADGRA1","adhesion G protein-coupled receptor A1","10q26","NM_001083909","NP_001077378","Q86SQ6","84435","1308241","Adgra1","adhesion G protein-coupled receptor A1","1q41","","","","309097","MGI:1277167","Adgra1","adhesion G protein-coupled receptor A1","7 F4","NM_177469","NP_803420","","52389"
"gpcr","17","Adhesion Class GPCRs","198","ADGRA2","","","","GPR124 (G protein-coupled receptor 124)","17849","ADGRA2","adhesion G protein-coupled receptor A2","8p11.22","NM_032777","NP_116166","Q96PE1","25960","1304828","Adgra2","adhesion G protein-coupled receptor A2","16q12.4","","","","306543","MGI:1925810","Adgra2","adhesion G protein-coupled receptor A2","8 A3","NM_054044","NP_473385","Q91ZV8","78560"
"gpcr","17","Adhesion Class GPCRs","199","ADGRA3","","","","TEM5L|TEM5-like|PGR21|GPR125 (G protein-coupled receptor 125)","13839","ADGRA3","adhesion G protein-coupled receptor A3","4p15.31","NM_145290","NP_660333","Q8IWK6","166647","1304914","Adgra3","adhesion G protein-coupled receptor A3","14q11","","","","305408","MGI:1917943","Adgra3","adhesion G protein-coupled receptor A3","5 B3","NM_133911","NP_598672","Q7TT36","70693"
"gpcr","17","Adhesion Class GPCRs","174","ADGRB1","","","","BAI1|brain-specific angiogenesis inhibitor 1","943","ADGRB1","adhesion G protein-coupled receptor B1","8q24","NM_001702","NP_001693","O14514","575","1305608","Adgrb1","adhesion G protein-coupled receptor B1","7q34","NM_001170597","NP_001164068","","362931","MGI:1933736","Adgrb1","adhesion G protein-coupled receptor B1","15 D3","NM_174991","NP_778156","Q3UHD1","107831"
"gpcr","17","Adhesion Class GPCRs","175","ADGRB2","","","","BAI2|brain-specific angiogenesis inhibitor 2","944","ADGRB2","adhesion G protein-coupled receptor B2","1p35","NM_001294335","NP_001281264","O60241","576","1309431","Adgrb2","adhesion G protein-coupled receptor B2","5q36","NM_001107914","NP_001101384","","313058","MGI:2451244","Adgrb2","adhesion G protein-coupled receptor B2","4D2.2","NM_173071","NP_775094","Q8CGM1","230775"
"gpcr","17","Adhesion Class GPCRs","176","ADGRB3","","","","BAI3|brain-specific angiogenesis inhibitor 3","945","ADGRB3","adhesion G protein-coupled receptor B3","6q12","NM_001704","NP_001695","O60242","577","1309703","Adgrb3","adhesion G protein-coupled receptor B3","9q13","NM_00106898","NP_001100368","","301309","MGI:2441837","Adgrb3","adhesion G protein-coupled receptor B3","1A5","NM_175642","NP_783573","Q499E3","210933"
"gpcr","17","Adhesion Class GPCRs","178","<i>CELSR1</i>","","","","crash|ADGRC1 (adhesion G protein-coupled receptor C1)","1850","CELSR1","cadherin EGF LAG seven-pass G-type receptor 1","22q13.31","NM_014246","NP_005061","Q9NYQ6","9620","1560078","Celsr1","cadherin, EGF LAG seven-pass G-type receptor 1","7q34","","","","300128","MGI:1100883","Celsr1","cadherin, EGF LAG seven-pass G-type receptor 1","15 E2","NM_009886","NP_034016","O35161","12614"
"gpcr","17","Adhesion Class GPCRs","179","<i>CELSR2</i>","","","","ADGRC2 (adhesion G protein-coupled receptor C2)|MEGF3|multiple epidermal growth factor-like domains 3","3231","CELSR2","cadherin EGF LAG seven-pass G-type receptor 2","1p13.3","NM_001408","NP_001399","Q9HCU4","1952","69237","Celsr2","cadherin, EGF LAG seven-pass G-type receptor 2","2q34","NM_001191110","NP_001178039","Q9QYP2","83465","MGI:1858235","Celsr2","cadherin, EGF LAG seven-pass G-type receptor 2","3 F3","NM_017392","NP_059088","Q9R0M0","53883"
"gpcr","17","Adhesion Class GPCRs","180","<i>CELSR3</i>","","","","ADGRC3 (adhesion G protein-coupled receptor C3)|MEGF2|multiple epidermal growth factor-like domains 2","3230","CELSR3","cadherin EGF LAG seven-pass G-type receptor 3","3p21.31B","NM_001407","NP_001398","Q9NYQ7","1951","621787","Celsr3","cadherin, EGF LAG seven-pass G-type receptor 3","8q32","NM_031320","NP_112610","O88278","83466","MGI:1858236","Celsr3","cadherin, EGF LAG seven-pass G-type receptor 3","9 F2","NM_080437","NP_536685","Q91ZI0","107934"
"gpcr","17","Adhesion Class GPCRs","202","ADGRD1","","","","GPR133 (G protein-coupled receptor 133)","19893","ADGRD1","adhesion G protein-coupled receptor D1","12q24.33","NM_198827","NP_942122","Q6QNK2","283383","1594795","Adgrd1","adhesion G protein-coupled receptor D1","12q14","","","","","MGI:3041203","Adgrd1","adhesion G protein-coupled receptor D1","5 G1.3","NM_001081342","NP_001074811","Q80T32","243277"
"gpcr","17","Adhesion Class GPCRs","204","ADGRD2","","","","GPR144 (G protein-coupled receptor 144)","18651","ADGRD2","adhesion G protein-coupled receptor D2","9q34.11","","","Q7Z7M1","347088","","","","","","","","","MGI:2685845","Adgrd2-ps","adhesion G protein-coupled receptor D2, pseudogene","2 B","","","",""
"gpcr","17","Adhesion Class GPCRs","182","ADGRE1","","","","EMR1 (EGF-like module-containing, mucin-like, hormone receptor-like 1)","3336","ADGRE1","adhesion G protein-coupled receptor E1","19p13.3","NM_001974|NM_001256252|NM_001256253|NM_001256254|NM_001256255","NP_001965|NP_001243181|NP_001243182|NP_001243183|NP_001243184","Q14246","2015","1359214","Adgre1","adhesion G protein-coupled receptor E1","9q11","NM_001007557","NP_001007558","Q5Y4N8","316137","MGI:106912","Adgre1","adhesion G protein-coupled receptor E1","17 D","NM_010130","NP_034260","Q3U9R0","13733"
"gpcr","17","Adhesion Class GPCRs","183","ADGRE2","","","","EMR2 (EGF-like module-containing, mucin-like, hormone receptor-like 2)|CD312 (cluster of differentiation 312)","3337","ADGRE2","adhesion G protein-coupled receptor E2","19p13.1","NM_013447","NP_038475","Q9UHX3","30817","","","","","","","","","","","","","","","",""
"gpcr","17","Adhesion Class GPCRs","184","ADGRE3","","","","EMR3 (EGF-like module-containing, mucin-like, hormone receptor-like 3)","23647","ADGRE3","adhesion G protein-coupled receptor E3","19p13.12","NM_032571","NP_115960","Q9BY15","84658","","","","","","","","","","","","","","","",""
"gpcr","17","Adhesion Class GPCRs","185","ADGRE4P","","","","FIRE (F4/80-like-receptor)|EMR4 (EGF-like module-containing mucin-like hormone receptor-like 4)|GPR127|G protein-coupled receptor 127","19240","ADGRE4P","adhesion G protein-coupled receptor E4, pseudogene","19p13.3","NR_024075","","Q86SQ3","326342","1359641","Adgre4","adhesion G protein-coupled receptor E4","9","NM_001007558","NP_001007559","Q5Y4N7","450235","MGI:1196464","Adgre4","adhesion G protein-coupled receptor E4","17 C","NM_139138","NP_631877","Q91ZE5","52614"
"gpcr","17","Adhesion Class GPCRs","177","ADGRE5","","","","CD97 (cluster of differentiation 97)|BL-Ac (F2)","1711","ADGRE5","adhesion G protein-coupled receptor E5","19p13","NM_078481|NM_001025160|NM_001784","NP_510966|NP_001020331|NP_001775","P48960","976","1305595","Adgre5","adhesion G protein-coupled receptor E5","19q11","NM_001012164","NP_001012164","Q5XI36","361383","MGI:1347095","Adgre5","adhesion G protein-coupled receptor E5","8 C2","NM_011925|NM_001163030|NM_001163029","NP_036055|NP_001156502|NP_001156501","Q9Z0M6","26364"
"gpcr","17","Adhesion Class GPCRs","190","ADGRF1","","","","GPR110 (G protein-coupled receptor 110)","18990","ADGRF1","adhesion G protein-coupled receptor F1","6p12.3","NM_153840","NP_722582","Q5T601","266977","1310285","Adgrf1","adhesion G protein-coupled receptor F1","9q12","","","","301266","MGI:1924846","Adgrf1","adhesion G protein-coupled receptor F1","17 B3","NM_133776","NP_598537","Q8VEC3","77596"
"gpcr","17","Adhesion Class GPCRs","191","ADGRF2","","","","GPR111 (G protein-coupled receptor 111)","18991","ADGRF2","adhesion G protein-coupled receptor F2","6p12.3","NM_153839","NP_722581","Q8IZF7","222611","1306718","Adgrf2","adhesion G protein-coupled receptor F2","9q12","","","","301269","MGI:2182728","Adgrf2","adhesion G protein-coupled receptor F2","17 B3","NM_001033493","NP_001028665","","435529"
"gpcr","17","Adhesion Class GPCRs","193","ADGRF3","","","","GPR113 (G protein-coupled receptor 113)","18989","ADGRF3","adhesion G protein-coupled receptor F3","2p24.1","NM_153835","NP_722577","Q8IZF5","165082","1305868","Adgrf3","adhesion G protein-coupled receptor F3","6q14","","","","298857","MGI:2685887","Adgrf3","adhesion G protein-coupled receptor F3","5 B1","NM_001014394","NP_001014416","Q58Y75","381628"
"gpcr","17","Adhesion Class GPCRs","195","ADGRF4","","","","GPR115 (G protein-coupled receptor 115)","19011","ADGRF4","adhesion G protein-coupled receptor F4","6p12.3","NM_153838","NP_722580","Q8IZF3","221393","1565216","Adgrf4","adhesion G protein-coupled receptor F4","9q12","","","","501106","MGI:1925499","Adgrf4","adhesion G protein-coupled receptor F4","17 B3","NM_030067","NP_084343","Q9D2L6","78249"
"gpcr","17","Adhesion Class GPCRs","196","ADGRF5","","","","GPR116 (G protein-coupled receptor 116)|Ig-Hepta","19030","ADGRF5","adhesion G protein-coupled receptor F5","6p12.3","NM_015234","NP_056049","Q8IZF2","221395","621679","Adgrf5","adhesion G protein-coupled receptor F5","9q12","NM_139110","NP_620810","Q9WVT0","245977","MGI:2182928","Adgrf5","adhesion G protein-coupled receptor F5","17 B3","NM_001081178","NP_001074647","","224792"
"gpcr","17","Adhesion Class GPCRs","186","ADGRG1","","","","BFPP|GPR56 (G-protein coupled receptor 56)|Cyt28","4512","ADGRG1","adhesion G protein-coupled receptor G1","16q12.2-q21","NM_005682","NP_005673","Q9Y653","9289","628617","Adgrg1","adhesion G protein-coupled receptor G1","19p13","NM_152242","NP_689448","Q8K3V3","260326","MGI:1340051","Adgrg1","adhesion G protein-coupled receptor G1","8 D1","NM_018882","NP_061370","Q8K209","14766"
"gpcr","17","Adhesion Class GPCRs","187","ADGRG2","","","","GPR64 (G protein-coupled receptor 64)|HE6 (human epididymal 6)","4516","ADGRG2","adhesion G protein-coupled receptor G2","Xp22.13","NM_001079858|NM_001079859|NM_001079860|NM_005756|NM_001184833|NM_001184834|NM_001184835|NM_001184836","NP_001073328|NP_001073327|NP_001073329|NP_005747|NP_001171762|NP_001171763|NP_001171764|NP_001171765","Q8IZP9","10149","628618","Adgrg2","adhesion G protein-coupled receptor G2","Xq21","NM_181366","NP_852031","Q8CJ11","266735","MGI:2446854","Adgrg2","adhesion G protein-coupled receptor G2","X F4","NM_178712","NP_848827","Q8CJ12","237175"
"gpcr","17","Adhesion Class GPCRs","188","ADGRG3","","","","GPR97 (G protein-coupled receptor 97)|Pb99","13728","ADGRG3","adhesion G protein-coupled receptor G3","16q13","NM_170776","NP_740746","Q86Y34","222487","1305674","Adgrg3","adhesion G protein-coupled receptor G3","19q13","","","","291854","MGI:1859670","Adgrg3","adhesion G protein-coupled receptor G3","8D1","NM_173036","NP_766624","Q8R0T6","54672"
"gpcr","17","Adhesion Class GPCRs","192","ADGRG4","","","","GPR112 (G protein-coupled receptor 112)","18992","ADGRG4","adhesion G protein-coupled receptor G4","Xq26.3","NM_153834","NP_722576","Q8IZF6","139378","1588837","Gpr112l","G protein-coupled receptor 112-like","Xq36","","","","302860","MGI:2685213","Adgrg4","adhesion G protein-coupled receptor G4","X A5","","","Q3UNS7","236798"
"gpcr","17","Adhesion Class GPCRs","194","ADGRG5","","","","GPR114 (G protein-coupled receptor 114)","19010","ADGRG5","adhesion G protein-coupled receptor G5","16q13","NM_153837","NP_722579","Q8IZF4","221188","1305559","Adgrg5","adhesion G protein-coupled receptor G5","19p13","","NP_001100880","","307645","MGI:2685955","Adgrg5","adhesion G protein-coupled receptor G5","8 D1","NM_001033468|NM_001107410","NP_001028640","Q3V3Z3","382045"
"gpcr","17","Adhesion Class GPCRs","200","ADGRG6","","","","GPR126 (G protein-coupled receptor 126)|developmentally regulated GPCR|vascular inducible GPCR","13841","ADGRG6","adhesion G protein-coupled receptor G6","6q24.1","NM_020455|NM_001032394|NM_001032395|NM_198569","NP_065188|NP_940971|NP_001027566|NP_001027567","Q86SQ4","57211","1308551","Adgrg6","adhesion G protein-coupled receptor G6","1p13","","","","308376","MGI:1916151","Adgrg6","adhesion G protein-coupled receptor G6","10 A2","NM_001002268","NP_001002268","Q6F3F9","215798"
"gpcr","17","Adhesion Class GPCRs","201","ADGRG7","","","","GPR128 (G protein-coupled receptor 128)","19241","ADGRG7","adhesion G protein-coupled receptor G7","3q12.3","NM_032787","NP_116176","Q96K78","84873","1307217","Adgrg7","adhesion G protein-coupled receptor G7","11q12","NM_001107098","NP_001100568","","304014","MGI:2441732","Adgrg7","adhesion G protein-coupled receptor G7","16 C1.1","NM_172825","NP_766413","Q8BM96","239853"
"gpcr","17","Adhesion Class GPCRs","206","ADGRL1","","","","LPHN1 (latrophilin 1)|LEC1 (lectomedin-2)|CIRL1 (calcium-independent alpha-latrotoxin 1)|CL1 (CIRL/latrophilin 1)","20973","ADGRL1","adhesion G protein-coupled receptor L1","19p13.2","NM_014921|NM_001008701","NP_055736|NP_001008701","O94910","22859","620768","Adgrl1","adhesion G protein-coupled receptor L1","19q11","NM_022962","NP_075251","O88917","65096","MGI:1929461","Adgrl1","adhesion G protein-coupled receptor L1","8 3","NM_181039","NP_851382","Q80TR1","330814"
"gpcr","17","Adhesion Class GPCRs","207","ADGRL2","","","","LPHN2 (latrophilin 2)|LPHH1 (latrophilin homologue in humans 1)|LEC1 (lectomedin-1)|CIRL2 (calcium-independent receptor of alpha-latrotoxin 2)","18582","ADGRL2","adhesion G protein-coupled receptor L2","1p31.1","NM_012302","NP_036434","O95490","23266","620835","Adgrl2","adhesion G protein-coupled receptor L2","2q45","NM_134408","NP_599235","O88923","171447","MGI:2139714","Adgrl2","adhesion G protein-coupled receptor L2","3 H3","NM_001081298","NP_001074767","Q8JZZ7","99633"
"gpcr","17","Adhesion Class GPCRs","208","ADGRL3","","","","LPHN3 (latrophilin 3)|CIRL3 (calcium-independent receptor of alpha-latrotoxin 3)|LEC3 (Lectomedin-3)|CL3 (CIRL/latrophilin 3)","20974","ADGRL3","adhesion G protein-coupled receptor L3","4q13.1","NM_015236","NP_056051","Q9HAR2","23284","620836","Adgrl3","adhesion G protein-coupled receptor L3","14p21","NM_130822","NP_570835","Q9Z173","170641","MGI:2441950","Adgrl3","adhesion G protein-coupled receptor L3","5 D-E1","NM_198702","NP_941991","Q80TS3","319387"
"gpcr","17","Adhesion Class GPCRs","181","ADGRL4","","","","ETL|EGF-TM7-latrophilin-related protein|ELTD1|EGF, latrophilin seven transmembrane domain containing 1","20822","ADGRL4","adhesion G protein-coupled receptor L4","1p31.1","NM_022159","NP_071442","Q9HBW9","64123","621136","Adgrl4","adhesion G protein-coupled receptor L4","2q45","NM_022294","NP_071630","Q9ESC1","64124","MGI:2655562","Adgrl4","adhesion G protein-coupled receptor L4","3  H3-H4","NM_133222","NP_573485","Q923X1","170757"
"gpcr","17","Adhesion Class GPCRs","189","ADGRV1","","","","FEB4|MASS1|USH2C|VLGR1|very large G protein-coupled receptor 1|GPR98 (G protein-coupled receptor 98)","17416","ADGRV1","adhesion G protein-coupled receptor V1","5q13","NM_032119","NP_115495","Q8WXG9","84059","1590878","Adgrv1","adhesion G protein-coupled receptor V1","2q11","","","","685383","MGI:1274784","Adgrv1","adhesion G protein-coupled receptor V1","13 C3","NM_054053","NP_473394","Q8VHN7","110789"
